feature,p_value,f_score
pairwise_kurtosis,0.0,8293.3613697704
k_num_clusters,0.0,2069.487380588433
pairwise_skew,0.0,4094.708893864833
pca_evr_dim_2,0.0,10844.380233850554
pca_cum_evr_k2,0.0,12072.40710961793
mst_degree_max,0.0,2956.3681719115953
mst_degree_std,0.0,4851.252138247966
mst_degree_mean,0.0,60421.63649811747
pca_evr_dim_0,0.0,20597.332342476697
pca_evr_dim_1,0.0,3753.86352267931
pca_evr_dim_3,0.0,8850.993824475298
log_mst_edge_std,0.0,7590.460554178936
log_pairwise_min,0.0,9795.890722401473
log_aspect_ratio,0.0,7842.943090580726
log_n_customers,0.0,36999.2276246562
pca_evr_dim_4,0.0,3909.2864964135283
log_nn_mean,0.0,5224.759465107909
log_nn_std,0.0,3760.2687100754874
log_nn_min,0.0,9795.890722401473
log_nn_max,0.0,3726.179724227445
log_avg_ln_n_nn_dist,0.0,4126.932878939792
log_avg_3nn_dist,0.0,5698.802326637285
log_nn_iqr,0.0,4877.383123458888
int_cost_x_silhouette,0.0,3238.39188964089
log_k_centroid_dist_mean,0.0,11285.40473138159
log_k_cost_ratio,0.0,16722.960238843814
log_k_inter_centroid_mst_cost,0.0,10364.97238707085
log_k_total_intra_mst_cost,0.0,6906.589027242827
log_k_size_ratio,0.0,2247.8378478526542
log_mst_high_degree_count,0.0,22989.20237495
log_large_edge_count,0.0,7735.715373418281
log_mst_diameter,0.0,1956.2793057951967
nn_std_mean_ratio,3.087473736915855e-277,1282.2019221299431
dimension,2.0803722589708827e-271,1254.6907916222872
log_node_density,4.582591810893726e-267,1234.2017000326412
pca_ev_dim_2,3.6747614357915635e-263,1215.7903369806113
nn_ratio_2_3,1.4270591950681167e-259,1198.870155515098
pca_ev_dim_3,3.4382306739042103e-239,1102.8977792479493
log_bounding_hypervolume,3.966943776988461e-230,1060.287904332569
pca_ev_dim_1,2.816125174732675e-197,906.1389356476537
log_centroid_dist_std,1.1738551648494304e-195,898.550425690838
pca_ev_dim_4,1.556761566821039e-135,617.7872836254105
log_k_centroid_dist_std,6.919427388356865e-134,610.1165067295191
log_centroid_dist_iqr,5.107155114753215e-108,489.877738149509
mst_edge_kurtosis,2.211161737257008e-102,463.724283098887
mst_edge_skew,3.3389247413784164e-83,374.8615178391128
log_mst_edge_mean,1.239099683146688e-82,372.2259992718813
log_pairwise_q10,1.1266294135277549e-58,261.53301107302394
log_mst_edge_max,1.717069569066642e-58,260.6889730043443
std_dim_0,6.008717758808821e-55,244.34881430193659
std_dim_2,1.5748156031840306e-52,233.20374718891142
log_mst_edge_min,1.727394298416921e-46,205.3897686396871
std_dim_1,2.9121034479330293e-46,204.3459464475543
std_dim_3,6.381212580811765e-37,161.4040747473801
mst_max_mean_ratio,9.502180166129789e-33,142.25250690937446
k_alignment_error,1.6044857921675132e-31,136.62341044279617
log_grid_size,4.325278591345693e-25,107.17463526209248
log_centroid_dist_mean,2.3154955514883525e-22,94.70442500254553
log_pairwise_iqr,7.103664246230238e-22,92.48145916943568
std_dim_4,4.3369963248488884e-18,75.21984979678874
log_pairwise_q25,4.765878056654099e-18,75.03338241205101
log_pairwise_max,7.510771771097132e-16,65.03806200356156
log_pairwise_q50,2.790548475054397e-14,57.911441796646024
mean_dim_0,1.3399526298428003e-11,45.77689749411705
mean_dim_1,1.668034079216095e-11,45.34751861255488
log_pairwise_mean,1.4625490239386397e-10,41.095804470709346
pca_eigenvalue_ratio,1.6388303688924677e-08,31.89199734371257
k_silhouette_score,2.3710503669740876e-07,26.711717458761356
log_centroid_dist_min,1.4542181733054023e-06,23.21330072562352
pca_ev_dim_0,7.658434908257087e-06,20.025573391228008
log_centroid_dist_max,2.5698402300291062e-05,17.71548545134339
log_pairwise_q75,2.783689395873646e-05,17.563404958615266
log_pairwise_q90,0.0002919569245778686,13.12318439904556
mst_edge_std_ratio,0.00893186255115685,6.836944705708579
