feature,p_value,f_score
mst_degree_std,0.0,5004.295717684794
nn_std_mean_ratio,0.0,2092.7066618911927
pairwise_kurtosis,0.0,3814.4329501829684
mst_degree_mean,0.0,44315.242031831185
pairwise_skew,0.0,4324.894517717654
pca_evr_dim_0,0.0,5630.783374774506
pca_cum_evr_k2,0.0,5558.515805966577
mst_degree_max,0.0,3136.2820663055536
pca_evr_dim_2,0.0,5256.153983291129
pca_evr_dim_3,0.0,8682.554612609201
log_n_customers,0.0,24859.474003775285
pca_evr_dim_4,0.0,4400.042013349874
log_avg_3nn_dist,0.0,5643.996712223775
log_nn_iqr,0.0,6085.56475740992
log_pairwise_min,0.0,13165.329823856013
log_aspect_ratio,0.0,7120.3208239966225
log_mst_high_degree_count,0.0,10849.818660298824
log_large_edge_count,0.0,2909.484965008838
log_nn_std,0.0,3967.270920211193
log_nn_max,0.0,4890.186201497803
log_nn_min,0.0,13165.329823856013
log_nn_mean,0.0,6982.336570659021
log_avg_ln_n_nn_dist,0.0,4207.752717133334
log_mst_edge_std,0.0,6537.657645403603
log_mst_diameter,1.5292807264079504e-261,1212.4436180249354
log_pairwise_q10,6.224461339218596e-234,1081.588277599218
pca_ev_dim_3,1.20122752545514e-230,1066.0464835680473
mst_edge_skew,1.9130863489841232e-190,876.3919559096399
pca_ev_dim_2,3.07480188034651e-186,856.6051043664175
log_centroid_dist_std,7.401012596293943e-172,789.0296425722042
log_node_density,1.0558142620743435e-170,783.6112289768531
pca_ev_dim_4,2.7748192767748483e-150,687.8918406650296
mst_edge_kurtosis,9.556308791895594e-143,652.6251272642706
log_centroid_dist_iqr,7.677854725902724e-109,494.4168593693378
pca_ev_dim_1,7.763937125752781e-109,494.3943170374009
mst_max_mean_ratio,1.9648927851840514e-101,459.946585237316
std_dim_0,3.2585246758928554e-74,333.6113361015466
std_dim_1,2.2135442048279125e-68,306.61220294688775
std_dim_2,2.4105500370287857e-54,241.74077116410885
log_bounding_hypervolume,6.917867380013933e-51,225.7868876648134
log_mst_edge_mean,5.2075435586076695e-39,171.0830629248289
std_dim_3,2.6146472837052175e-38,167.8603138727857
dimension,9.513791353240421e-34,146.90148215872026
log_mst_edge_min,3.418966455458581e-30,130.58416268975756
log_centroid_dist_mean,1.8736145259415393e-26,113.4497839775995
nn_ratio_2_3,1.9301388563903477e-25,108.81259349775418
mst_edge_std_ratio,1.8073840790306604e-24,104.36730768496997
log_centroid_dist_min,3.5381320573031724e-24,103.0328504186694
log_pairwise_std,3.759513599947925e-20,84.6378355151407
std_dim_4,1.886694415780695e-19,81.44218034644283
log_pairwise_max,4.45337311705161e-18,75.1843825382987
log_pairwise_q50,2.2284177817688946e-16,67.44985272730105
log_mst_edge_max,6.309627184191891e-15,60.851818607528394
log_grid_size,1.179783131587386e-14,59.61801740056463
log_pairwise_q75,5.746295497638475e-14,56.49877575799085
log_pairwise_q90,1.705317699720012e-12,49.82985029937777
pca_evr_dim_1,7.908031689543579e-12,46.81770968656756
log_pairwise_mean,1.083201948572944e-11,46.200441452220964
pca_eigenvalue_ratio,4.3186997922635213e-10,38.983614317794654
log_centroid_dist_max,7.717781345526584e-08,28.886939600141943
pca_ev_dim_0,1.646230792755567e-07,27.419677659902472
mean_dim_0,1.5464843015677563e-06,23.09659682090601
mean_dim_1,3.926856865777865e-06,21.306449808378293
