feature,p_value,f_score
nn_ratio_2_3,0.0,1983.7194654250145
mst_edge_kurtosis,0.0,1727.425005512868
mst_edge_skew,0.0,2921.6673484511716
mst_degree_mean,0.0,23012.0829437043
pca_evr_dim_1,0.0,5959.429848346736
pca_evr_dim_2,0.0,2109.9862942178147
pca_evr_dim_0,0.0,8692.169029364808
log_n_customers,0.0,15286.72922589369
log_nn_mean,0.0,1706.2859635459295
log_nn_min,0.0,2795.5441153327215
log_avg_3nn_dist,0.0,2727.3056228676646
log_avg_ln_n_nn_dist,0.0,2124.841217702516
log_mst_edge_min,0.0,2192.424910129422
log_mst_edge_mean,0.0,1808.6310521096045
log_pairwise_min,0.0,2795.5441153327215
log_large_edge_count,0.0,7379.453021080199
log_mst_high_degree_count,0.0,14652.121311926974
log_k_cost_ratio,0.0,3108.001876700504
mst_degree_std,1.1151053409065749e-284,1379.3571761280955
log_nn_std,5.492418820004805e-281,1360.266404828316
log_k_total_intra_mst_cost,1.7774079817099374e-278,1347.3058299348384
log_mst_edge_std,1.0239832759934537e-275,1333.0675673388293
k_num_clusters,6.927461564762064e-273,1318.4864541438194
pairwise_kurtosis,1.0642947913320455e-269,1302.0908521736196
log_node_density,1.723524262061248e-254,1224.133571006666
pca_cum_evr_k2,6.208223359920177e-254,1221.2903043843787
log_nn_iqr,2.746235027321669e-243,1167.0311414424607
mst_degree_max,1.8871259449741885e-190,901.2858093353994
log_nn_max,3.010054484897217e-173,816.0297572271894
mst_max_mean_ratio,3.8611526953007875e-140,653.681904001638
nn_std_mean_ratio,1.8531935406793394e-133,621.196141031431
pca_evr_dim_3,1.0563312167662773e-116,540.1319005416581
log_k_size_ratio,2.4603234946770307e-102,471.0884654766806
log_centroid_dist_std,1.1404229417770614e-100,463.1097592919952
int_cost_x_silhouette,4.738066961408952e-99,455.36426516060504
mst_edge_std_ratio,1.8098220700888156e-98,452.58027944914215
pairwise_skew,8.685691119473535e-97,444.542902692399
log_aspect_ratio,4.170039074269967e-89,407.89518463463963
log_k_centroid_dist_std,1.73766992627723e-88,404.94339485251913
log_mst_edge_max,1.3969445784938306e-68,310.5836824105092
log_centroid_dist_iqr,1.611655777206771e-57,258.5160505582414
pca_ev_dim_0,1.7549886351386757e-52,234.89881050421008
pca_evr_dim_4,2.1373303550933862e-48,215.78575388712136
log_pairwise_iqr,2.202053603291137e-44,197.0513827064227
log_pairwise_q10,3.822950279485026e-42,186.61324012727522
log_k_centroid_dist_mean,4.7926396640282364e-36,158.25639284907479
pca_ev_dim_2,1.1121927655431726e-35,156.55946659857767
log_pairwise_std,1.7166026229157953e-27,118.65545467870979
pca_ev_dim_3,2.887249029015854e-25,108.38922484004871
log_mst_diameter,1.0388513791348265e-21,92.02546195074542
pca_ev_dim_1,1.397088279643658e-21,91.43432140516232
log_centroid_dist_min,2.127421766394167e-21,90.59540163288456
log_pairwise_q75,1.532442381778518e-20,86.65824140284616
log_pairwise_q90,4.7887926039309474e-20,84.38779410964193
k_alignment_error,2.1110663214606187e-19,81.43343127710305
log_grid_size,8.503364698463995e-16,64.94223396825858
log_pairwise_mean,1.2429622557311247e-15,64.18988722822903
log_centroid_dist_max,2.9553597800742355e-13,53.368074344847244
log_pairwise_q50,8.856140434152668e-12,46.66650983059138
pca_ev_dim_4,1.3111019857209339e-11,45.89457501068762
log_centroid_dist_mean,1.9584684470290353e-09,36.07474795531731
mean_dim_1,7.1976680329806235e-09,33.53274917350971
mean_dim_0,1.6970980063913917e-08,31.86060440644854
log_pairwise_max,8.624145391037562e-08,28.698943336532793
dimension,4.352997302340605e-06,21.123808004359923
log_k_inter_centroid_mst_cost,1.2718457537634252e-05,19.06953263264848
std_dim_1,1.4674274789067333e-05,18.79616830530711
k_silhouette_score,6.852517428229684e-05,15.863191065930614
std_dim_0,0.00033830059040360744,12.853473436223542
std_dim_3,0.013811325506655555,6.064031892786884
pca_eigenvalue_ratio,0.014560222153523499,5.970792644121619
log_bounding_hypervolume,0.02060148771986874,5.361730871505369
log_pairwise_q25,0.03885403793808584,4.268251488362754
std_dim_2,0.039104408179741326,4.257334871813018
